query,is_cs_term,word_count,trend_value,query_score
python developer jobs,1,3,42,52
data analyst position,1,3,23,33
flutter mobile dev,1,3,26,36
backend engineer hiring,1,3,96,106
aws solutions architect,1,3,69,79
unity developer,1,2,81,91
ios dev internship,1,3,28,38
machine learning engineer,1,3,48,58
cybersecurity analyst job,1,3,60,70
software engineer intern,1,3,49,59
reactjs frontend job,1,3,87,97
vuforia developer,1,2,60,70
cloud engineer remote,1,3,94,104
ai researcher,1,2,20,30
business intelligence analyst,1,3,66,76
c++ software engineer,1,3,46,56
web dev urgent,1,3,38,48
frontend engineer opening,1,3,45,55
tech project manager,1,3,95,105
support engineer,1,2,28,38
c# unity developer,1,3,62,72
3d artist blender,1,3,84,94
kotlin mobile dev,1,3,94,104
laravel backend dev,1,3,44,54
fullstack engineer opening,1,3,75,85
devops internship,1,2,87,97
data science entry level,1,4,49,54
ai chatbot developer,1,3,29,39
sql dba,1,2,25,35
it helpdesk,1,2,36,46
excel data entry,0,3,50,50
virtual assistant needed,0,3,67,67
content writer remote,0,3,40,40
graphic designer,0,2,20,20
sales executive,0,2,26,26
social media manager,0,3,68,68
real estate agent,0,3,41,41
customer support rep,0,3,73,73
video editor freelance,0,3,64,64
online tutor,0,2,37,37
english transcription,0,2,86,86
voice actor,0,2,34,34
medical coder,0,2,71,71
seo optimization,0,2,47,47
online researcher,0,2,89,89
crypto trading,0,2,69,69
influencer manager,0,2,31,31
data labeling,0,2,74,74
blockchain consultant,1,2,29,39
smart contract auditor,1,3,42,52
embedded engineer,1,2,21,31
prompt engineer,1,2,38,48
roblox scripter,1,2,45,55
